Disease;Sym1;Sym2;Sym3;Sym4;Sym5;Sym6
Flu;weak muscle pain;coughing;malaise;headache;high temperature;a sore throat
Flu;weak muscle pain;high temperature;a sore throat;malaise;headache;coughing
Flu;high temperature;malaise;headache;coughing;a sore throat;weak muscle pain
Flu;coughing;headache;high temperature;malaise;a sore throat;weak muscle pain
Flu;weak muscle pain;malaise;coughing;headache;high temperature;a sore throat
Flu;coughing;weak muscle pain;headache;a sore throat;high temperature;malaise
Flu;coughing;headache;weak muscle pain;high temperature;a sore throat;malaise
Flu;malaise;coughing;high temperature;headache;weak muscle pain;a sore throat
Flu;temperature;headache;malaise;cough;muscle pain;hurt glatat
Flu;malaise;muscle pain;hurt glatat;cough;headache;temperature
Flu;temperature;hurt glatat;cough;malaise;headache;muscle pain
Flu;cough;hurt glatat;headache;temperature;malaise;muscle pain
Flu;muscle pain;malaise;cough;headache;temperature;hurt glatat
Flu;hurt glatat;malaise;cough;headache;temperature;muscle pain
Flu;muscle pain;headache;hurt glatat;temperature;cough;malaise
Flu;muscle pain;headache;cough;hurt glatat;malaise;temperature
Flu;chills;headache;heat;cough;joint pain;runny nose
Flu;cough;heat;runny nose;chills;joint pain;headache
Flu;headache;chills;heat;cough;joint pain;runny nose
Flu;runny nose;heat;headache;joint pain;chills;cough
Flu;cough;headache;runny nose;heat;chills;joint pain
Flu;joint pain;chills;headache;heat;runny nose;cough
Flu;chills;headache;heat;joint pain;cough;runny nose
Flu;joint pain;runny nose;chills;headache;heat;cough
Flu;headache;cramps;muscle pain;headache with vomiting;shortness of breath;temperature
Flu;headache with vomiting;shortness of breath;headache;cramps;muscle pain;temperature
Flu;temperature;headache;muscle pain;headache with vomiting;cramps;shortness of breath
Flu;temperature;muscle pain;headache;headache with vomiting;shortness of breath;cramps
Flu;headache with vomiting;cramps;headache;temperature;shortness of breath;muscle pain
Flu;shortness of breath;cramps;headache with vomiting;temperature;headache;muscle pain
Flu;headache with vomiting;temperature;shortness of breath;cramps;muscle pain;headache
Flu;headache with vomiting;headache;shortness of breath;cramps;muscle pain;temperature
Flu;cough;heat;pokrasnenie eyes;itchy eyes;fatigue;throat
Flu;throat;heat;itchy eyes;cough;pokrasnenie eyes;fatigue
Flu;fatigue;pokrasnenie eyes;cough;throat;heat;itchy eyes
Flu;fatigue;itchy eyes;throat;heat;cough;pokrasnenie eyes
Flu;itchy eyes;heat;throat;pokrasnenie eyes;fatigue;cough
Flu;itchy eyes;fatigue;cough;heat;throat;pokrasnenie eyes
Flu;pokrasnenie eyes;itchy eyes;heat;throat;cough;fatigue
Flu;fatigue;throat;heat;cough;itchy eyes;pokrasnenie eyes
Meningitis;severe headache;double vision;sudden fever;vomiting;skin rash;abdominal pain
Meningitis;sudden fever;abdominal pain;skin rash;vomiting;severe headache;double vision
Meningitis;double vision;abdominal pain;skin rash;vomiting;sudden fever;severe headache
Meningitis;skin rash;vomiting;abdominal pain;double vision;severe headache;sudden fever
Meningitis;severe headache;double vision;vomiting;sudden fever;abdominal pain;skin rash
Meningitis;vomiting;severe headache;sudden fever;skin rash;abdominal pain;double vision
Meningitis;abdominal pain;vomiting;sudden fever;double vision;skin rash;severe headache
Meningitis;double vision;abdominal pain;severe headache;sudden fever;skin rash;vomiting
Meningitis;stomach hurts;fever;seeing double;nausea;headache;ISO
Meningitis;ISO;fever;nausea;seeing double;headache;stomach hurts
Meningitis;nausea;headache;fever;stomach hurts;seeing double;ISO
Meningitis;nausea;seeing double;headache;ISO;stomach hurts;fever
Meningitis;stomach hurts;nausea;ISO;headache;seeing double;fever
Meningitis;stomach hurts;headache;fever;nausea;ISO;seeing double
